id,price
1,4.33208
2,6.097456
3,13.3683195
4,5.813683
5,5.3390336
6,8.791035
7,9.220103
8,3.3294306
9,8.95093
10,6.1060104
11,4.8895636
12,9.875771
13,3.7908685
14,7.494457
15,7.2040915
16,12.2829
17,6.940209
18,6.1446376
19,7.6679754
20,5.8756356
21,4.5832143
22,6.3479414
23,7.6051407
24,5.703156
25,6.4241385
26,5.282142
27,4.7439065
28,2.7260525
29,8.462004
30,3.2285726
31,4.74438
32,5.349051
33,4.887843
34,4.9736037
35,13.545453
36,8.69303
37,18.483139
38,4.77997
39,7.0013485
40,4.8084273
41,3.7282562
42,10.511255
43,6.1962633
44,5.925425
45,5.877931
46,2.0117664
47,51.972202
48,6.559955
49,7.320601
50,2.9197853
51,4.718186
52,7.9446073
53,3.6317167
54,3.9252212
55,4.2835946
56,13.555707
57,6.9012437
58,5.862177
59,20.853104
60,4.2976446
61,8.364355
62,4.844455
63,6.622414
64,14.94005
65,6.4854093
66,5.7717996
67,8.784462
68,5.8293934
69,2.0583665
70,5.76971
71,6.2438235
72,8.931623
73,2.5834055
74,4.396681
75,3.5102522
76,7.715147
77,5.27671
78,4.2367473
79,8.535406
80,5.86842
81,5.6393466
82,9.106867
83,8.166799
84,2.1688313
85,15.155593
86,22.217625
87,5.441459
88,3.2211158
89,4.0954986
90,14.006356
91,9.889089
92,7.363983
93,10.14422
94,4.8395815
95,7.4408627
96,7.7164855
97,7.0703464
98,3.563474
99,8.6817
100,6.801088
101,5.2488427
102,3.2819195
103,9.881968
104,15.968894
105,2.908589
106,7.515127
107,10.031839
108,4.725105
109,8.273735
110,5.842144
111,8.607035
112,7.658267
113,3.998878
114,5.005484
115,6.4867697
116,8.892272
117,9.07844
118,11.4595
119,7.043414
120,4.962985
121,2.0006618
122,13.489116
123,11.425861
124,9.303216
125,5.567106
126,8.202913
127,11.469626
128,9.339021
129,3.800808
130,5.3202753
131,2.224386
132,9.419481
133,6.0284457
134,7.9992876
135,4.0844307
136,4.816297
137,8.125311
138,7.4501348
139,4.538974
140,8.982142
141,5.3493733
142,8.147001
143,12.085865
144,4.205145
145,6.7338448
146,7.1383505
147,12.769392
148,4.3868437
149,4.269738
150,4.4395
151,5.568882
152,4.1677566
153,12.796196
154,4.331594
155,5.516061
156,6.8172708
157,28.656319
158,6.3151193
159,5.0900598
160,7.449531
161,14.636531
162,67.18019
163,13.550524
164,11.417736
165,7.1886125
166,8.748234
167,8.309977
168,6.4163017
169,7.3540387
170,6.00125
171,3.5979733
172,5.6765437
173,6.1841316
174,7.8067994
175,16.095802
176,0.27699214
177,3.6474254
178,8.200508
179,4.1044264
180,6.4951897
181,7.67353
182,5.4286265
183,5.7229486
184,9.211068
185,6.9545026
186,1.1372728
187,7.810729
188,8.258938
189,6.5954423
190,9.522619
191,4.215892
192,8.659215
193,8.37711
194,5.4451103
195,3.8727725
196,6.2213464
197,4.598583
198,6.000545
199,4.881792
200,4.8056254
201,10.820315
202,5.7585473
203,5.50636
204,4.5721188
205,1.496686
206,11.250041
207,4.71791
208,3.749709
209,5.5171604
210,14.551001
211,10.388328
212,2.559197
213,2.147809
214,8.084276
215,11.908394
216,5.4080443
